timestamp,latency_p99,error_rate,rps
2024-01-01T00:00:00,131.1,0.8697,531.3
2024-01-01T00:10:00,106.82,0.4069,504.2
2024-01-01T00:20:00,133.75,0.6314,460.7
2024-01-01T00:30:00,134.28,0.6882,507.1
2024-01-01T00:40:00,91.54,0.9776,378.5
2024-01-01T00:50:00,100.7,0.5158,465.9
2024-01-01T01:00:00,123.81,0.7106,474.0
2024-01-01T01:10:00,120.8,0.7517,343.6
2024-01-01T01:20:00,120.43,0.6656,488.0
2024-01-01T01:30:00,116.19,1.0434,350.1
2024-01-01T01:40:00,136.89,0.9924,415.8
2024-01-01T01:50:00,136.2,1.15,453.2
2024-01-01T02:00:00,129.49,0.7007,391.5
2024-01-01T02:10:00,140.3,1.1608,456.6
2024-01-01T02:20:00,131.57,0.3908,455.3
2024-01-01T02:30:00,110.92,0.3835,384.4
2024-01-01T02:40:00,125.87,0.4359,495.4
2024-01-01T02:50:00,106.65,0.8028,388.9
2024-01-01T03:00:00,141.07,1.1607,633.0
2024-01-01T03:10:00,136.48,0.6194,441.2
2024-01-01T03:20:00,118.11,0.657,356.3
2024-01-01T03:30:00,112.4,0.7352,371.3
2024-01-01T03:40:00,139.84,0.9718,541.8
2024-01-01T03:50:00,122.89,0.6567,417.3
2024-01-01T04:00:00,117.51,0.64,340.9
2024-01-01T04:10:00,114.92,0.3964,518.3
2024-01-01T04:20:00,145.18,0.6285,416.8
2024-01-01T04:30:00,138.37,1.1532,502.3
2024-01-01T04:40:00,132.51,0.8273,524.8
2024-01-01T04:50:00,130.34,0.578,472.0
2024-01-01T05:00:00,153.82,1.1708,641.7
2024-01-01T05:10:00,116.43,0.6244,312.0
2024-01-01T05:20:00,114.32,1.226,384.6
2024-01-01T05:30:00,110.35,1.2211,429.5
2024-01-01T05:40:00,129.61,0.8168,630.9
2024-01-01T05:50:00,146.3,0.3504,593.8
2024-01-01T06:00:00,122.58,1.4869,553.1
2024-01-01T06:10:00,110.27,0.9162,386.5
2024-01-01T06:20:00,113.67,0.7028,395.8
2024-01-01T06:30:00,135.88,1.0868,383.7
2024-01-01T06:40:00,131.29,1.0107,387.3
2024-01-01T06:50:00,129.0,1.1933,569.4
2024-01-01T07:00:00,113.31,0.6013,430.5
2024-01-01T07:10:00,131.93,0.8955,441.1
2024-01-01T07:20:00,130.58,0.4442,512.0
2024-01-01T07:30:00,125.13,0.9999,316.9
2024-01-01T07:40:00,140.06,0.7931,454.2
2024-01-01T07:50:00,123.46,0.8843,362.3
2024-01-01T08:00:00,136.12,0.7561,426.4
2024-01-01T08:10:00,123.98,0.7247,403.1
2024-01-01T08:20:00,125.93,0.5395,399.0
2024-01-01T08:30:00,133.38,1.0371,468.0
2024-01-01T08:40:00,102.65,1.2469,467.7
2024-01-01T08:50:00,129.21,0.633,432.4
2024-01-01T09:00:00,130.07,0.9661,479.7
2024-01-01T09:10:00,113.22,0.9297,380.5
2024-01-01T09:20:00,124.55,0.8024,504.5
2024-01-01T09:30:00,144.96,0.342,433.5
2024-01-01T09:40:00,111.82,0.4095,411.3
2024-01-01T09:50:00,135.73,0.5657,386.4
2024-01-01T10:00:00,101.68,0.1583,453.8
2024-01-01T10:10:00,124.98,1.2224,622.7
2024-01-01T10:20:00,130.55,0.9103,468.0
2024-01-01T10:30:00,136.68,0.791,381.5
2024-01-01T10:40:00,137.14,0.1429,546.6
2024-01-01T10:50:00,138.72,0.2528,435.3
2024-01-01T11:00:00,131.82,0.7993,516.1
2024-01-01T11:10:00,130.08,1.3911,444.9
2024-01-01T11:20:00,147.58,0.5904,595.9
2024-01-01T11:30:00,132.98,1.0591,446.1
2024-01-01T11:40:00,112.69,0.656,605.2
2024-01-01T11:50:00,122.97,0.8166,409.4
2024-01-01T12:00:00,126.04,1.1644,485.0
2024-01-01T12:10:00,148.73,0.6962,620.5
2024-01-01T12:20:00,138.62,0.593,521.9
2024-01-01T12:30:00,151.16,1.2254,690.2
2024-01-01T12:40:00,134.5,0.8137,486.9
2024-01-01T12:50:00,139.93,1.1274,529.0
2024-01-01T13:00:00,164.35,0.5944,668.9
2024-01-01T13:10:00,135.06,1.222,395.4
2024-01-01T13:20:00,155.58,0.8821,385.5
2024-01-01T13:30:00,136.19,0.9304,452.8
2024-01-01T13:40:00,143.89,0.8395,581.5
2024-01-01T13:50:00,134.89,0.6484,387.7
2024-01-01T14:00:00,120.86,0.7995,564.2
2024-01-01T14:10:00,145.93,0.6672,558.6
2024-01-01T14:20:00,137.44,1.0879,677.6
2024-01-01T14:30:00,141.63,0.7391,600.1
2024-01-01T14:40:00,147.9,0.351,545.6
2024-01-01T14:50:00,147.11,0.2962,625.2
2024-01-01T15:00:00,145.76,0.282,551.6
2024-01-01T15:10:00,136.21,0.9854,471.7
2024-01-01T15:20:00,141.95,0.4545,416.9
2024-01-01T15:30:00,139.25,0.89,462.9
2024-01-01T15:40:00,111.47,0.841,505.3
2024-01-01T15:50:00,122.63,0.7806,522.5
2024-01-01T16:00:00,117.25,0.9315,322.6
2024-01-01T16:10:00,131.88,0.8475,475.8
2024-01-01T16:20:00,139.19,0.0,495.7
2024-01-01T16:30:00,119.21,0.7029,537.2
2024-01-01T16:40:00,136.87,0.9275,623.5
2024-01-01T16:50:00,153.65,1.2921,508.2
2024-01-01T17:00:00,122.87,1.3059,400.3
2024-01-01T17:10:00,143.07,0.3911,327.6
2024-01-01T17:20:00,114.35,0.6951,528.0
2024-01-01T17:30:00,124.24,0.3302,403.6
